Fips,Area,Year,rate
00000,United States,1980,7.1
00000,United States,1981,7.6
00000,United States,1982,9.7
00000,United States,1983,9.6
00000,United States,1984,7.5
00000,United States,1985,7.2
00000,United States,1986,7.0
00000,United States,1987,6.2
00000,United States,1988,5.5
00000,United States,1989,5.3
00000,United States,1990,5.6
00000,United States,1991,6.8
00000,United States,1992,7.5
00000,United States,1993,6.9
00000,United States,1994,6.1
00000,United States,1995,5.6
00000,United States,1996,5.4
00000,United States,1997,4.9
00000,United States,1998,4.5
00000,United States,1999,4.2
00000,United States,2000,4.0
00000,United States,2001,4.7
00000,United States,2002,5.8
00000,United States,2003,6.0
00000,United States,2004,5.5
00000,United States,2005,5.1
00000,United States,2006,4.6
00000,United States,2007,4.6
00000,United States,2008,5.8
00000,United States,2009,9.3
00000,United States,2010,9.6
00000,United States,2011,8.9
00000,United States,2012,8.1
00000,United States,2013,7.4
00000,United States,2014,6.2
00000,United States,2015,5.3
00000,United States,2016,4.9
00000,United States,2017,4.4
00000,United States,2018,3.9
